tau,r,phi,dt/dtau,dr/dtau,dphi/dtau
0.0,6.0,0.0,1.5,0.0,0.10206207261596577
0.1000100010001,6.0,0.010207227984395016,1.5,6.939587862693497e-19,0.10206207261596577
0.2000200020002,6.0,0.020414455968790032,1.5,1.3879175725386995e-18,0.10206207261596577
0.3000300030003,6.0,0.030621683953185052,1.5,2.0818763588080493e-18,0.10206207261596577
0.4000400040004,6.0,0.040828911937580065,1.5,2.7758351450773986e-18,0.10206207261596577
0.5000500050005,6.0,0.05103613992197506,1.5,3.469793931346748e-18,0.10206207261596577
0.6000600060006,6.0,0.0612433679063701,1.5,4.1637527176160986e-18,0.10206207261596577
0.7000700070007,6.0,0.07145059589076509,1.5,4.857711503885447e-18,0.10206207261596577
0.8000800080008,6.0,0.08165782387516013,1.5,5.551670290154798e-18,0.10206207261596577
0.9000900090009001,6.0,0.09186505185955515,1.5,6.245629076424149e-18,0.10206207261596577
1.000100010001,6.0,0.10207227984395015,1.5,6.939587862693497e-18,0.10206207261596577
1.1001100110011,6.0,0.11227950782834516,1.5,7.633546648962846e-18,0.10206207261596577
1.2001200120012,6.0,0.1224867358127402,1.5,8.327505435232197e-18,0.10206207261596577
1.3001300130013,6.0,0.1326939637971352,1.5,9.021464221501546e-18,0.10206207261596577
1.4001400140014,6.0,0.1429011917815302,1.5,9.715423007770896e-18,0.10206207261596577
1.5001500150015001,6.0,0.15310841976592524,1.5,1.0409381794040246e-17,0.10206207261596577
1.6001600160016,6.0,0.16331564775032026,1.5,1.1103340580309596e-17,0.10206207261596577
1.7001700170017,6.0,0.17352287573471525,1.5,1.1797299366578945e-17,0.10206207261596577
1.8001800180018002,6.0,0.1837301037191103,1.5,1.2491258152848296e-17,0.10206207261596577
1.9001900190019,6.0,0.1939373317035053,1.5,1.3185216939117645e-17,0.10206207261596577
2.000200020002,6.0,0.2041445596879003,1.5,1.3879175725386994e-17,0.10206207261596577
2.1002100210021,6.0,0.21435178767229535,1.5,1.4573134511656345e-17,0.10206207261596577
2.2002200220022,6.0,0.22455901565669034,1.5,1.5267093297925693e-17,0.10206207261596577
2.3002300230023,6.0,0.23476624364108536,1.5,1.5961052084195044e-17,0.10206207261596577
2.4002400240024,6.0,0.2449734716254804,1.5,1.6655010870464394e-17,0.10206207261596577
2.5002500250025,6.0,0.2551806996098754,1.5,1.7348969656733742e-17,0.10206207261596577
2.6002600260026,6.0,0.26538792759427043,1.5,1.8042928443003093e-17,0.10206207261596577
2.7002700270027002,6.0,0.27559515557866543,1.5,1.8736887229272444e-17,0.10206207261596577
2.8002800280028,6.0,0.2858023835630604,1.5,1.943084601554179e-17,0.10206207261596577
2.9002900290029,6.0,0.2960096115474554,1.5,2.0124804801811142e-17,0.10206207261596577
3.0003000300030003,6.0,0.3062168395318504,1.5,2.0818763588080493e-17,0.10206207261596577
3.1003100310031,6.0,0.3164240675162454,1.5,2.151272237434984e-17,0.10206207261596577
3.2003200320032,6.0,0.32663129550064046,1.5,2.220668116061919e-17,0.10206207261596577
3.3003300330033003,6.0,0.3368385234850355,1.5,2.2900639946888542e-17,0.10206207261596577
3.4003400340034,6.0,0.3470457514694305,1.5,2.359459873315789e-17,0.10206207261596577
3.5003500350035,6.0,0.3572529794538255,1.5,2.428855751942724e-17,0.10206207261596577
3.6003600360036003,6.0,0.36746020743822055,1.5,2.4982516305696592e-17,0.10206207261596577
3.7003700370037,6.0,0.3776674354226155,1.5,2.567647509196594e-17,0.10206207261596577
3.8003800380038,6.0,0.38787466340701054,1.5,2.637043387823529e-17,0.10206207261596577
3.9003900390039004,6.0,0.3980818913914056,1.5,2.706439266450464e-17,0.10206207261596577
4.000400040004,6.0,0.4082891193758006,1.5,2.775835145077399e-17,0.10206207261596577
4.1004100410041,6.0,0.4184963473601957,1.5,2.8452310237043336e-17,0.10206207261596577
4.2004200420042,6.0,0.4287035753445909,1.5,2.914626902331269e-17,0.10206207261596577
4.3004300430043,6.0,0.4389108033289859,1.5,2.9840227809582044e-17,0.10206207261596577
4.4004400440044,6.0,0.4491180313133809,1.5,3.0534186595851386e-17,0.10206207261596577
4.5004500450045,6.0,0.4593252592977759,1.5,3.122814538212074e-17,0.10206207261596577
4.6004600460046,6.0,0.4695324872821709,1.5,3.192210416839008e-17,0.10206207261596577
4.7004700470047,6.0,0.4797397152665659,1.5,3.2616062954659435e-17,0.10206207261596577
4.8004800480048,6.0,0.4899469432509609,1.5,3.331002174092879e-17,0.10206207261596577
4.9004900490049,6.0,0.5001541712353561,1.5,3.400398052719814e-17,0.10206207261596577
5.000500050005,6.0,0.5103613992197509,1.5,3.4697939313467484e-17,0.10206207261596577
5.1005100510051005,6.0,0.5205686272041461,1.5,3.539189809973684e-17,0.10206207261596577
5.2005200520052,6.0,0.5307758551885409,1.5,3.608585688600618e-17,0.10206207261596577
5.3005300530053,6.0,0.5409830831729361,1.5,3.6779815672275534e-17,0.10206207261596577
5.4005400540054005,6.0,0.5511903111573311,1.5,3.747377445854489e-17,0.10206207261596577
5.5005500550055,6.0,0.5613975391417261,1.5,3.816773324481424e-17,0.10206207261596577
5.6005600560056,6.0,0.5716047671261208,1.5,3.886169203108358e-17,0.10206207261596577
5.7005700570057005,6.0,0.5818119951105161,1.5,3.9555650817352937e-17,0.10206207261596577
5.8005800580058,6.0,0.5920192230949108,1.5,4.024960960362228e-17,0.10206207261596577
5.9005900590059,6.0,0.6022264510793061,1.5,4.094356838989163e-17,0.10206207261596577
6.0006000600060005,6.0,0.6124336790637013,1.5,4.1637527176160986e-17,0.10206207261596577
6.1006100610061,6.0,0.622640907048096,1.5,4.233148596243034e-17,0.10206207261596577
6.2006200620062,6.0,0.632848135032491,1.5,4.302544474869968e-17,0.10206207261596577
6.300630063006301,6.0,0.643055363016886,1.5,4.3719403534969035e-17,0.10206207261596577
6.4006400640064,6.0,0.653262591001281,1.5,4.4413362321238377e-17,0.10206207261596577
6.5006500650065,6.0,0.6634698189856761,1.5,4.510732110750773e-17,0.10206207261596577
6.600660066006601,6.0,0.6736770469700712,1.5,4.5801279893777085e-17,0.10206207261596577
6.7006700670067,6.0,0.6838842749544664,1.5,4.649523868004644e-17,0.10206207261596577
6.8006800680068,6.0,0.6940915029388611,1.5,4.718919746631578e-17,0.10206207261596577
6.900690069006901,6.0,0.7042987309232563,1.5,4.7883156252585134e-17,0.10206207261596577
7.000700070007,6.0,0.7145059589076511,1.5,4.8577115038854475e-17,0.10206207261596577
7.1007100710071,6.0,0.7247131868920462,1.5,4.927107382512383e-17,0.10206207261596577
7.200720072007201,6.0,0.7349204148764412,1.5,4.9965032611393183e-17,0.10206207261596577
7.3007300730073,6.0,0.7451276428608363,1.5,5.065899139766254e-17,0.10206207261596577
7.4007400740074,6.0,0.7553348708452312,1.5,5.135295018393188e-17,0.10206207261596577
7.500750075007501,6.0,0.7655420988296263,1.5,5.204690897020123e-17,0.10206207261596577
7.6007600760076,6.0,0.7757493268140212,1.5,5.2740867756470574e-17,0.10206207261596577
7.7007700770077,6.0,0.7859565547984163,1.5,5.343482654273993e-17,0.10206207261596577
7.800780078007801,6.0,0.7961637827828114,1.5,5.412878532900928e-17,0.10206207261596577
