t,r,phi,dr_dt,dp_dt
0.0,2.0,0.0,0.0,0.015707963267948967
1.0025062656641603,2.0,0.01574733159694132,0.0,0.015707963267948967
2.0050125313283207,2.0,0.031494663193882645,0.0,0.015707963267948967
3.007518796992481,2.0,0.047241994790823964,0.0,0.015707963267948967
4.010025062656641,2.0,0.06298932638776528,0.0,0.015707963267948967
5.012531328320802,2.0,0.07873665798470658,0.0,0.015707963267948967
6.015037593984962,2.0,0.09448398958164791,0.0,0.015707963267948967
7.017543859649122,2.0,0.11023132117858925,0.0,0.015707963267948967
8.020050125313283,2.0,0.12597865277553055,0.0,0.015707963267948967
9.022556390977442,2.0,0.14172598437247186,0.0,0.015707963267948967
10.025062656641603,2.0,0.15747331596941316,0.0,0.015707963267948967
11.027568922305765,2.0,0.17322064756635452,0.0,0.015707963267948967
12.030075187969924,2.0,0.18896797916329583,0.0,0.015707963267948967
13.032581453634084,2.0,0.20471531076023713,0.0,0.015707963267948967
14.035087719298245,2.0,0.22046264235717847,0.0,0.015707963267948967
15.037593984962406,2.0,0.2362099739541198,0.0,0.015707963267948967
16.040100250626566,2.0,0.2519573055510611,0.0,0.015707963267948967
17.042606516290725,2.0,0.2677046371480024,0.0,0.015707963267948967
18.045112781954884,2.0,0.2834519687449437,0.0,0.015707963267948967
19.047619047619047,2.0,0.299199300341885,0.0,0.015707963267948967
20.050125313283207,2.0,0.3149466319388264,0.0,0.015707963267948967
21.052631578947366,2.0,0.3306939635357677,0.0,0.015707963267948967
22.05513784461153,2.0,0.34644129513270905,0.0,0.015707963267948967
23.05764411027569,2.0,0.36218862672965035,0.0,0.015707963267948967
24.06015037593985,2.0,0.37793595832659166,0.0,0.015707963267948967
25.062656641604008,2.0,0.39368328992353296,0.0,0.015707963267948967
26.065162907268167,2.0,0.40943062152047427,0.0,0.015707963267948967
27.06766917293233,2.0,0.42517795311741563,0.0,0.015707963267948967
28.07017543859649,2.0,0.44092528471435694,0.0,0.015707963267948967
29.07268170426065,2.0,0.4566726163112981,0.0,0.015707963267948967
30.075187969924812,2.0,0.4724199479082395,0.0,0.015707963267948967
31.07769423558897,2.0,0.4881672795051808,0.0,0.015707963267948967
32.08020050125313,2.0,0.5039146111021221,0.0,0.015707963267948967
33.08270676691729,2.0,0.5196619426990634,0.0,0.015707963267948967
34.08521303258145,2.0,0.5354092742960047,0.0,0.015707963267948967
35.08771929824561,2.0,0.551156605892946,0.0,0.015707963267948967
36.09022556390977,2.0,0.5669039374898873,0.0,0.015707963267948967
37.092731829573935,2.0,0.5826512690868287,0.0,0.015707963267948967
38.095238095238095,2.0,0.59839860068377,0.0,0.015707963267948967
39.097744360902254,2.0,0.6141459322807113,0.0,0.015707963267948967
40.100250626566414,2.0,0.6298932638776527,0.0,0.015707963267948967
41.10275689223057,2.0,0.6456405954745936,0.0,0.015707963267948967
42.10526315789473,2.0,0.661387927071535,0.0,0.015707963267948967
43.10776942355889,2.0,0.6771352586684765,0.0,0.015707963267948967
44.11027568922306,2.0,0.6928825902654177,0.0,0.015707963267948967
45.11278195488722,2.0,0.7086299218623591,0.0,0.015707963267948967
46.11528822055138,2.0,0.7243772534593005,0.0,0.015707963267948967
47.11779448621554,2.0,0.7401245850562415,0.0,0.015707963267948967
48.1203007518797,2.0,0.7558719166531829,0.0,0.015707963267948967
49.122807017543856,2.0,0.7716192482501245,0.0,0.015707963267948967
50.125313283208015,2.0,0.7873665798470655,0.0,0.015707963267948967
51.127819548872175,2.0,0.8031139114440067,0.0,0.015707963267948967
52.130325814536334,2.0,0.8188612430409483,0.0,0.015707963267948967
53.1328320802005,2.0,0.8346085746378895,0.0,0.015707963267948967
54.13533834586466,2.0,0.8503559062348307,0.0,0.015707963267948967
55.13784461152882,2.0,0.8661032378317723,0.0,0.015707963267948967
56.14035087719298,2.0,0.8818505694287135,0.0,0.015707963267948967
57.14285714285714,2.0,0.8975979010256547,0.0,0.015707963267948967
58.1453634085213,2.0,0.9133452326225961,0.0,0.015707963267948967
59.14786967418546,2.0,0.9290925642195373,0.0,0.015707963267948967
60.150375939849624,2.0,0.9448398958164788,0.0,0.015707963267948967
61.152882205513784,2.0,0.9605872274134202,0.0,0.015707963267948967
62.15538847117794,2.0,0.9763345590103614,0.0,0.015707963267948967
63.1578947368421,2.0,0.9920818906073028,0.0,0.015707963267948967
64.16040100250626,2.0,1.0078292222042442,0.0,0.015707963267948967
65.16290726817043,2.0,1.0235765538011854,0.0,0.015707963267948967
66.16541353383458,2.0,1.0393238853981266,0.0,0.015707963267948967
67.16791979949875,2.0,1.0550712169950682,0.0,0.015707963267948967
68.1704260651629,2.0,1.0708185485920092,0.0,0.015707963267948967
69.17293233082707,2.0,1.0865658801889506,0.0,0.015707963267948967
70.17543859649122,2.0,1.102313211785892,0.0,0.015707963267948967
71.17794486215539,2.0,1.1180605433828332,0.0,0.015707963267948967
72.18045112781954,2.0,1.1338078749797744,0.0,0.015707963267948967
73.1829573934837,2.0,1.149555206576716,0.0,0.015707963267948967
74.18546365914787,2.0,1.1653025381736573,0.0,0.015707963267948967
75.18796992481202,2.0,1.1810498697705984,0.0,0.015707963267948967
76.19047619047619,2.0,1.19679720136754,0.0,0.015707963267948967
77.19298245614034,2.0,1.212544532964481,0.0,0.015707963267948967
78.19548872180451,2.0,1.2282918645614225,0.0,0.015707963267948967
79.19799498746866,2.0,1.244039196158364,0.0,0.015707963267948967
80.20050125313283,2.0,1.259786527755305,0.0,0.015707963267948967
81.203007518797,2.0,1.2755338593522465,0.0,0.015707963267948967
