tau,r,phi,dt/dtau,dr/dtau,dphi/dtau
0.0,6.0,0.0,1.0,0.0,0.06804138174397717
0.010001000100010001,6.0,0.0006804818656263344,1.0,-3.469793931346749e-20,0.06804138174397717
0.020002000200020003,6.0,0.0013609637312526689,1.0,-6.939587862693498e-20,0.06804138174397717
0.030003000300030003,6.0,0.0020414455968790035,1.0,-1.0409381794040246e-19,0.06804138174397717
0.040004000400040006,6.0,0.0027219274625053403,1.0,-1.3879175725386999e-19,0.06804138174397717
0.05000500050005001,6.0,0.003402409328131675,1.0,-1.7348969656733746e-19,0.06804138174397717
0.060006000600060005,6.0,0.004082891193758008,1.0,-2.0818763588080493e-19,0.06804138174397717
0.07000700070007002,6.0,0.004763373059384343,1.0,-2.4288557519427245e-19,0.06804138174397717
0.08000800080008001,6.0,0.005443854925010677,1.0,-2.775835145077399e-19,0.06804138174397717
0.09000900090009001,6.0,0.006124336790637011,1.0,-3.122814538212074e-19,0.06804138174397717
0.10001000100010002,6.0,0.006804818656263346,1.0,-3.469793931346749e-19,0.06804138174397717
0.11001100110011001,6.0,0.00748530052188968,1.0,-3.816773324481424e-19,0.06804138174397717
0.12001200120012001,6.0,0.008165782387516014,1.0,-4.1637527176160986e-19,0.06804138174397717
0.13001300130013002,6.0,0.008846264253142349,1.0,-4.510732110750774e-19,0.06804138174397717
0.14001400140014003,6.0,0.009526746118768683,1.0,-4.857711503885449e-19,0.06804138174397717
0.15001500150015,6.0,0.010207227984395016,1.0,-5.204690897020123e-19,0.06804138174397717
0.16001600160016002,6.0,0.01088770985002135,1.0,-5.551670290154798e-19,0.06804138174397717
0.17001700170017003,6.0,0.011568191715647685,1.0,-5.898649683289474e-19,0.06804138174397717
0.18001800180018002,6.0,0.012248673581274018,1.0,-6.245629076424148e-19,0.06804138174397717
0.19001900190019003,6.0,0.012929155446900353,1.0,-6.592608469558823e-19,0.06804138174397717
0.20002000200020004,6.0,0.013609637312526688,1.0,-6.939587862693498e-19,0.06804138174397717
0.21002100210021002,6.0,0.01429011917815302,1.0,-7.286567255828173e-19,0.06804138174397717
0.22002200220022003,6.0,0.014970601043779355,1.0,-7.633546648962848e-19,0.06804138174397717
0.23002300230023004,6.0,0.01565108290940569,1.0,-7.980526042097523e-19,0.06804138174397717
0.24002400240024002,6.0,0.016331564775032024,1.0,-8.327505435232197e-19,0.06804138174397717
0.25002500250025006,6.0,0.01701204664065836,1.0,-8.674484828366873e-19,0.06804138174397717
0.26002600260026004,6.0,0.017692528506284694,1.0,-9.021464221501548e-19,0.06804138174397717
0.27002700270027,6.0,0.01837301037191103,1.0,-9.368443614636222e-19,0.06804138174397717
0.28002800280028006,6.0,0.019053492237537363,1.0,-9.715423007770898e-19,0.06804138174397717
0.29002900290029004,6.0,0.019733974103163694,1.0,-1.0062402400905572e-18,0.06804138174397717
0.3000300030003,6.0,0.020414455968790025,1.0,-1.0409381794040246e-18,0.06804138174397717
0.31003100310031007,6.0,0.021094937834416363,1.0,-1.0756361187174923e-18,0.06804138174397717
0.32003200320032005,6.0,0.021775419700042698,1.0,-1.1103340580309597e-18,0.06804138174397717
0.33003300330033003,6.0,0.022455901565669033,1.0,-1.1450319973444271e-18,0.06804138174397717
0.34003400340034007,6.0,0.023136383431295367,1.0,-1.1797299366578947e-18,0.06804138174397717
0.35003500350035005,6.0,0.023816865296921702,1.0,-1.2144278759713622e-18,0.06804138174397717
0.36003600360036003,6.0,0.024497347162548033,1.0,-1.2491258152848296e-18,0.06804138174397717
0.37003700370037007,6.0,0.02517782902817437,1.0,-1.2838237545982972e-18,0.06804138174397717
0.38003800380038005,6.0,0.025858310893800703,1.0,-1.3185216939117646e-18,0.06804138174397717
0.39003900390039004,6.0,0.026538792759427037,1.0,-1.353219633225232e-18,0.06804138174397717
0.4000400040004001,6.0,0.027219274625053372,1.0,-1.3879175725386997e-18,0.06804138174397717
0.41004100410041006,6.0,0.027899756490679703,1.0,-1.4226155118521673e-18,0.06804138174397717
0.42004200420042004,6.0,0.028580238356306034,1.0,-1.4573134511656345e-18,0.06804138174397717
0.4300430043004301,6.0,0.029260720221932365,1.0,-1.4920113904791017e-18,0.06804138174397717
0.44004400440044006,6.0,0.02994120208755871,1.0,-1.5267093297925697e-18,0.06804138174397717
0.45004500450045004,6.0,0.03062168395318504,1.0,-1.561407269106037e-18,0.06804138174397717
0.4600460046004601,6.0,0.03130216581881137,1.0,-1.5961052084195042e-18,0.06804138174397717
0.47004700470047006,6.0,0.03198264768443772,1.0,-1.6308031477329722e-18,0.06804138174397717
0.48004800480048004,6.0,0.03266312955006405,1.0,-1.6655010870464394e-18,0.06804138174397717
0.4900490049004901,6.0,0.03334361141569038,1.0,-1.7001990263599067e-18,0.06804138174397717
0.5000500050005001,6.0,0.034024093281316725,1.0,-1.7348969656733747e-18,0.06804138174397717
0.51005100510051,6.0,0.034704575146943056,1.0,-1.769594904986842e-18,0.06804138174397717
0.5200520052005201,6.0,0.035385057012569374,1.0,-1.804292844300309e-18,0.06804138174397717
0.5300530053005301,6.0,0.03606553887819572,1.0,-1.838990783613777e-18,0.06804138174397717
0.54005400540054,6.0,0.03674602074382205,1.0,-1.8736887229272444e-18,0.06804138174397717
0.5500550055005501,6.0,0.03742650260944838,1.0,-1.9083866622407116e-18,0.06804138174397717
0.5600560056005601,6.0,0.038106984475074726,1.0,-1.9430846015541796e-18,0.06804138174397717
0.57005700570057,6.0,0.03878746634070104,1.0,-1.977782540867647e-18,0.06804138174397717
